#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv1396c	9	13	2	59	0.000000
Rv1397c	3	6	1	2	-1.000000
Rv1398c	3	3	0	0	-1.000000
Rv1399c	13	16	1	2	0.000000
Rv1400c	4	18	9	592	0.989640
Rv1401	2	9	5	82	0.000000
Rv1402	1	28	27	1924	1.000000
Rv1403c	12	16	2	32	0.000000
Rv1404	2	8	6	261	0.249560
Rv1405c	11	12	1	2	0.000000
Rv1406	0	9	9	462	0.998340
Rv1407	14	21	3	108	0.000000
Rv1408	1	13	12	640	0.999780
Rv1409	1	14	13	875	0.999940
Rv1410c	14	30	7	394	0.700340
Rv1411c	5	8	2	59	0.000000
Rv1412	1	7	6	483	0.957920
Rv1413	6	6	0	0	0.000000
Rv1414	2	4	2	57	0.000000
Rv1415	0	15	15	1128	1.000000
Rv1416	0	4	4	120	-1.000000
Rv1417	1	8	5	264	0.222600
Rv1418	11	15	2	24	0.000000
Rv1419	5	6	1	2	0.000000
Rv1420	7	29	14	943	0.999920
Rv1421	7	20	3	32	0.000000
Rv1422	5	11	6	655	0.868240
Rv1423	1	12	10	785	0.998720
Rv1424c	10	19	5	281	0.104760
Rv1425	13	19	2	11	0.000000
Rv1426c	12	29	4	65	0.000000
Rv1427c	14	20	3	426	0.049820
Rv1428c	11	19	2	11	0.000000
Rv1429	15	23	3	33	0.000000
Rv1430	27	40	3	81	0.000000
Rv1431	14	25	4	180	0.000000
Rv1432	6	16	5	224	0.000300
Rv1433	14	18	2	12	0.000000
Rv1434	1	1	0	0	-1.000000
Rv1435c	7	15	4	53	0.000000
Rv1436	0	15	15	1006	0.999980
Rv1437	0	16	16	1178	1.000000
Rv1438	0	16	16	766	1.000000
Rv1439c	6	7	1	2	0.000000
Rv1440	1	6	4	123	0.121680
Rv1441c	10	18	2	27	0.000000
Rv1442	30	38	2	226	0.000000
Rv1443c	0	3	3	476	0.674620
Rv1444c	2	3	1	2	0.000000
Rv1445c	5	10	2	52	0.000000
Rv1446c	4	15	5	281	0.115580
Rv1447c	11	20	2	26	0.000000
Rv1448c	3	13	4	105	0.000000
Rv1449c	1	26	25	2019	1.000000
Rv1450c	10	29	7	929	0.773420
Rv1451	0	16	16	822	0.999960
Rv1452c	9	13	3	548	0.061340
Rv1453	12	12	0	0	0.000000
Rv1454c	13	17	1	2	0.000000
Rv1455	11	13	1	2	0.000000
Rv1456c	1	14	13	755	0.999900
Rv1457c	0	8	8	614	0.993060
Rv1458c	2	14	6	503	0.812320
Rv1459c	5	26	11	679	0.997260
Rv1460	3	9	5	405	0.701080
Rv1461	0	59	59	2393	1.000000
Rv1462	0	14	14	943	1.000000
Rv1463	0	12	12	753	0.999840
Rv1464	0	15	15	1088	1.000000
Rv1465	1	8	7	350	0.986120
Rv1466	0	1	1	2	-1.000000
Rv1467c	18	28	2	59	0.000000
Rv1468c	8	11	2	12	0.000000
Rv1469	13	21	2	10	0.000000
Rv1470	5	5	0	0	0.000000
Rv1471	3	3	0	0	0.000000
Rv1472	12	16	1	2	0.000000
Rv1473	14	25	3	20	0.000000
Rv1473A	1	4	3	53	-1.000000
Rv1474c	4	8	1	2	0.000000
Rv1475c	1	56	55	2796	1.000000
Rv1476	0	7	7	548	0.984140
Rv1477	2	25	23	1315	1.000000
Rv1478	7	9	1	2	0.000000
Rv1479	0	14	14	947	1.000000
Rv1480	1	6	5	747	0.881280
Rv1481	1	14	13	941	1.000000
Rv1482c	10	15	2	36	0.000000
Rv1483	0	13	13	693	0.999900
Rv1484	0	10	10	774	0.999200
Rv1485	0	25	25	917	1.000000
Rv1486c	8	8	0	0	0.000000
Rv1487	2	4	2	91	0.000000
Rv1488	13	16	1	2	0.000000
Rv1489	7	7	0	0	0.000000
Rv1489A	4	4	0	0	-1.000000
Rv1490	12	38	9	193	0.000280
Rv1491c	12	15	1	2	0.000000
Rv1492	12	17	3	84	0.000000
Rv1493	20	32	3	110	0.000000
Rv1494	5	8	3	97	0.000040
Rv1495	6	6	0	0	0.000000
Rv1496	7	9	1	2	0.000000
Rv1497	13	17	3	31	0.000000
Rv1498A	3	3	0	0	0.000000
Rv1498c	14	17	2	19	0.000000
Rv1499	4	5	1	2	0.000000
Rv1500	14	36	9	179	0.000140
Rv1501	10	34	9	191	0.000720
Rv1502	6	33	12	373	0.999000
Rv1503c	12	18	3	54	0.000000
Rv1504c	11	13	1	2	0.000000
Rv1505c	6	27	17	390	1.000000
Rv1506c	8	20	5	84	0.000000
Rv1507A	6	15	3	37	0.000000
Rv1507c	4	29	18	430	1.000000
Rv1508A	7	14	4	151	0.000000
Rv1508c	32	44	2	13	0.000000
Rv1509	5	20	11	336	0.997460
Rv1510	22	23	1	2	0.000000
Rv1511	18	20	2	95	0.000000
Rv1512	0	13	13	890	0.999860
Rv1513	2	7	4	222	0.000540
Rv1514c	9	19	3	92	0.000000
Rv1515c	11	18	1	2	0.000000
Rv1516c	6	11	1	2	0.000000
Rv1517	7	15	5	96	0.000000
Rv1518	8	13	2	133	0.000000
Rv1519	2	3	1	2	0.000000
Rv1520	23	26	2	31	0.000000
Rv1521	24	39	5	74	0.000000
Rv1522c	29	52	12	202	0.004600
Rv1523	16	21	2	59	0.000000
Rv1524	9	14	2	247	0.000200
Rv1525	3	23	9	338	0.981980
Rv1526c	8	18	5	251	0.004280
Rv1527c	69	100	3	63	0.000000
Rv1528c	7	7	0	0	0.000000
Rv1529	19	37	6	117	0.000000
Rv1530	10	25	4	419	0.150140
Rv1531	3	8	3	44	0.000000
Rv1532c	4	6	2	60	0.000000
Rv1533	7	11	2	329	0.058980
Rv1534	13	17	2	11	0.000000
Rv1535	4	5	1	2	0.000000
Rv1536	0	79	79	3100	1.000000
Rv1537	10	14	2	25	0.000000
Rv1538c	0	14	14	868	1.000000
Rv1539	2	9	7	398	0.975860
Rv1540	0	14	14	679	0.999960
Rv1541c	8	9	1	2	0.000000
Rv1542c	8	8	0	0	0.000000
Rv1543	9	15	2	15	0.000000
Rv1544	8	11	1	2	0.000000
Rv1545	2	4	1	2	0.000000
Rv1546	5	6	1	2	0.000000
Rv1547	1	48	47	3149	1.000000
Rv1548c	15	43	6	205	0.000040
Rv1549	7	9	1	2	0.000000
Rv1550	19	23	3	76	0.000000
Rv1551	19	33	6	61	0.000000
Rv1552	24	41	4	130	0.000000
Rv1553	11	14	2	20	0.000000
Rv1554	6	10	2	31	0.000000
Rv1555	5	5	0	0	0.000000
Rv1556	11	14	2	40	0.000000
Rv1557	13	21	3	144	0.000000
Rv1558	8	10	1	2	0.000000
Rv1559	1	27	26	1231	1.000000
Rv1560	1	3	2	13	-1.000000
Rv1561	5	9	3	76	0.000000
Rv1562c	15	37	8	446	0.833440
Rv1563c	8	35	8	461	0.800140
Rv1564c	22	49	14	664	0.999560
Rv1565c	5	46	14	944	0.999880
Rv1566c	6	11	2	209	0.000000
Rv1567c	6	10	2	9	0.000000
Rv1568	0	16	16	1227	1.000000
Rv1569	1	7	3	393	0.192260
Rv1570	0	2	2	370	-1.000000
Rv1571	0	3	3	462	0.682560
Rv1572c	0	1	1	2	-1.000000
Rv1573	0	1	1	2	-1.000000
Rv1574	1	3	2	46	0.000000
Rv1575	3	9	5	45	0.000000
Rv1576c	1	8	7	963	0.984080
Rv1577c	2	8	5	113	0.000000
Rv1578c	1	4	3	150	0.175180
Rv1579c	2	4	2	37	-1.000000
Rv1580c	4	5	1	2	0.000000
Rv1581c	6	7	1	2	0.000000
Rv1582c	8	33	12	464	0.997820
Rv1583c	3	3	0	0	-1.000000
Rv1584c	2	3	1	2	-1.000000
Rv1585c	2	10	8	362	0.996120
Rv1586c	15	24	6	273	0.053220
Rv1588c	1	4	2	182	0.000020
Rv1589	1	11	10	872	0.998820
Rv1590	0	3	3	31	-1.000000
Rv1591	9	9	0	0	0.000000
Rv1592c	20	25	2	86	0.000000
Rv1593c	6	12	2	4	0.000000
Rv1594	0	10	10	876	0.998980
Rv1595	0	24	24	1419	1.000000
Rv1596	2	15	13	790	0.999860
Rv1597	10	12	2	29	0.000000
Rv1598c	6	9	1	2	0.000000
Rv1599	0	17	17	1291	1.000000
Rv1600	0	26	26	1108	1.000000
Rv1601	0	15	15	522	1.000000
Rv1602	1	11	10	575	0.998800
Rv1603	1	10	9	676	0.996780
Rv1604	5	13	6	295	0.626980
Rv1605	0	7	7	645	0.982320
Rv1606	1	9	8	295	0.998480
Rv1607	8	10	2	17	0.000000
Rv1608c	5	8	2	31	0.000000
Rv1609	1	26	25	1337	1.000000
Rv1610	0	5	5	405	0.942580
Rv1611	0	12	12	679	0.999860
Rv1612	0	18	18	1041	1.000000
Rv1613	0	19	19	769	1.000000
Rv1614	2	27	24	794	1.000000
Rv1615	7	10	1	2	0.000000
Rv1616	7	11	3	94	0.000000
Rv1617	1	14	13	1196	0.999960
Rv1618	16	19	1	2	0.000000
Rv1619	9	23	7	310	0.692520
Rv1620c	2	19	13	964	0.999940
Rv1621c	1	20	13	893	0.999940
Rv1622c	2	22	8	224	0.006700
Rv1623c	5	23	9	617	0.976480
Rv1624c	4	5	1	2	0.000000
Rv1625c	25	31	3	62	0.000000
Rv1626	5	5	0	0	0.000000
Rv1627c	12	20	7	313	0.757580
Rv1628c	3	7	3	35	0.000000
Rv1629	2	42	40	2558	1.000000
Rv1630	0	17	17	1326	1.000000
Rv1631	0	12	12	846	0.999740
Rv1632c	11	11	0	0	0.000000
Rv1633	21	38	4	138	0.000000
Rv1634	30	33	1	2	0.000000
Rv1635c	25	32	2	41	0.000000
Rv1636	1	10	9	375	0.998400
Rv1637c	13	14	1	2	0.000000
Rv1638	22	39	3	59	0.000000
Rv1638A	2	5	3	59	0.000460
Rv1639c	11	19	3	146	0.000000
Rv1640c	37	66	6	574	0.157520
Rv1641	2	12	10	403	0.998440
Rv1642	0	1	1	2	-1.000000
Rv1643	0	8	8	228	0.999600
Rv1644	11	11	0	0	0.000000
Rv1645c	22	24	1	2	0.000000
Rv1646	17	19	2	14	0.000000
Rv1647	9	12	1	2	0.000000
Rv1648	13	14	1	2	0.000000
Rv1649	0	13	13	844	0.999960
Rv1650	0	37	37	2408	1.000000
Rv1651c	42	55	3	107	0.000000
Rv1652	0	15	15	782	0.999940
Rv1653	1	5	4	1040	0.842280
Rv1654	0	4	4	554	0.796380
Rv1655	0	10	10	1010	0.999340
Rv1656	0	5	5	509	0.911940
Rv1657	2	4	1	2	0.000000
Rv1658	0	18	18	1124	1.000000
Rv1659	0	8	8	1051	0.996680
Rv1660	10	11	1	2	0.000000
Rv1661	21	82	12	656	0.981840
Rv1662	10	67	17	1441	0.999980
Rv1663	4	19	12	867	0.999380
Rv1664	19	47	7	416	0.408460
Rv1665	7	13	3	49	0.000000
Rv1666c	15	20	1	2	0.000000
Rv1667c	7	11	2	25	0.000000
Rv1668c	8	14	2	154	0.000000
Rv1669	3	9	2	40	0.000000
Rv1670	9	11	1	2	0.000000
Rv1671	6	16	5	117	0.000000
Rv1672c	13	22	4	217	0.000060
Rv1673c	8	16	3	83	0.000000
Rv1674c	7	10	2	12	0.000000
Rv1675c	8	11	3	146	0.000000
Rv1676	4	10	6	322	0.855320
Rv1677	4	12	3	48	0.000000
Rv1678	4	10	4	333	0.414480
Rv1679	3	11	3	44	0.000000
Rv1680	8	15	3	62	0.000000
Rv1681	14	16	1	2	0.000000
Rv1682	7	16	2	13	0.000000
Rv1683	8	41	10	937	0.988460
Rv1684	0	4	4	43	-1.000000
Rv1685c	0	7	7	528	0.984240
Rv1686c	4	14	5	165	0.000000
Rv1687c	6	12	2	60	0.000000
Rv1688	7	9	1	2	0.000000
Rv1689	0	20	20	1144	1.000000
Rv1690	4	8	2	10	0.000000
Rv1691	6	11	2	30	0.000000
Rv1692	10	12	1	2	0.000000
Rv1693	1	1	0	0	-1.000000
Rv1694	5	11	5	324	0.583700
Rv1695	0	8	8	850	0.994320
Rv1696	11	22	5	504	0.260800
Rv1697	2	18	16	1072	1.000000
Rv1698	2	14	5	144	0.000000
Rv1699	0	37	37	1714	1.000000
Rv1700	1	11	5	385	0.761580
Rv1701	7	15	5	325	0.453920
Rv1702c	17	24	4	147	0.000000
Rv1703c	13	15	1	2	0.000000
Rv1704c	17	21	2	197	0.000000
Rv1705c	17	27	6	144	0.000000
Rv1706A	0	2	2	122	-1.000000
Rv1706c	15	21	2	252	0.000500
Rv1707	15	22	3	36	0.000000
Rv1708	2	19	16	666	0.999980
Rv1709	8	11	1	2	0.000000
Rv1710	10	15	2	80	0.000000
Rv1711	0	10	10	594	0.999080
Rv1712	1	13	11	508	0.999400
Rv1713	0	12	12	1243	0.999960
Rv1714	5	8	2	165	0.000000
Rv1715	4	10	2	114	0.000000
Rv1716	8	12	2	10	0.000000
Rv1717	4	4	0	0	0.000000
Rv1718	6	7	1	2	0.000000
Rv1719	3	7	2	51	0.000000
Rv1720c	6	9	2	28	0.000000
Rv1721c	1	2	1	2	-1.000000
Rv1722	20	23	1	2	0.000000
Rv1723	14	18	1	2	0.000000
Rv1724c	9	14	2	18	0.000000
Rv1725c	9	13	2	61	0.000000
Rv1726	12	16	2	20	0.000000
Rv1727	5	6	1	2	0.000000
Rv1728c	12	20	2	45	0.000000
Rv1729c	8	22	4	140	0.000000
Rv1730c	13	31	7	220	0.000440
Rv1731	18	25	1	2	0.000000
Rv1732c	8	9	1	2	0.000000
Rv1733c	4	5	1	2	0.000000
Rv1734c	3	3	0	0	0.000000
Rv1735c	5	8	2	56	0.000000
Rv1736c	34	42	1	2	0.000000
Rv1737c	14	15	1	2	0.000000
Rv1738	3	3	0	0	0.000000
Rv1739c	28	42	3	52	0.000000
Rv1740	2	4	2	44	-1.000000
Rv1741	5	7	1	2	0.000000
Rv1742	12	14	1	2	0.000000
Rv1743	23	34	2	8	0.000000
Rv1744c	6	8	1	2	0.000000
Rv1745c	7	13	4	130	0.000000
Rv1746	12	13	1	2	0.000000
Rv1747	24	34	2	88	0.000000
Rv1748	10	13	2	33	0.000000
Rv1749c	12	16	1	2	0.000000
Rv1750c	25	40	4	52	0.000000
Rv1751	10	19	4	219	0.000080
Rv1752	4	5	1	2	0.000000
Rv1753c	17	67	12	179	0.000180
Rv1754c	25	41	5	114	0.000000
Rv1755c	3	19	6	157	0.000000
Rv1756c	0	1	1	2	-1.000000
Rv1758	8	12	3	66	0.000000
Rv1759c	16	27	4	320	0.037760
Rv1760	19	28	4	230	0.000040
Rv1761c	4	6	1	2	0.000000
Rv1762c	7	10	2	139	0.000000
Rv1765A	4	4	0	0	0.000000
Rv1765c	1	1	0	0	-1.000000
Rv1766	2	3	1	2	0.000000
Rv1767	6	8	1	2	0.000000
Rv1768	20	21	1	2	0.000000
Rv1769	18	23	2	54	0.000000
Rv1770	14	17	2	195	0.000000
Rv1771	18	26	2	68	0.000000
Rv1772	2	5	2	106	0.000000
Rv1773c	6	11	5	260	0.030020
Rv1774	22	30	1	2	0.000000
Rv1775	10	14	1	2	0.000000
Rv1776c	5	12	2	54	0.000000
Rv1777	13	28	4	72	0.000000
Rv1778c	3	6	1	2	0.000000
Rv1779c	8	15	4	394	0.121400
Rv1780	12	14	2	74	0.000000
Rv1781c	20	27	1	2	0.000000
Rv1782	6	20	10	672	0.993200
Rv1783	0	18	18	1248	1.000000
Rv1784	7	42	11	356	0.979080
Rv1785c	13	22	3	26	0.000000
Rv1786	1	1	0	0	-1.000000
Rv1787	3	10	3	69	0.000000
Rv1788	6	6	0	0	0.000000
Rv1789	17	21	2	40	0.000000
Rv1790	6	9	3	131	0.000000
Rv1791	2	6	3	65	0.000000
Rv1793	2	2	0	0	-1.000000
Rv1794	7	22	6	94	0.000000
Rv1795	8	23	8	416	0.899500
Rv1796	14	34	5	205	0.000040
Rv1797	2	15	8	561	0.974160
Rv1798	16	31	6	179	0.000020
Rv1799	1	2	1	2	-1.000000
Rv1800	28	40	3	72	0.000000
Rv1801	21	26	2	23	0.000000
Rv1802	18	22	1	2	0.000000
Rv1803c	21	35	5	321	0.119840
Rv1804c	5	10	4	154	0.000000
Rv1805c	3	6	3	94	0.000000
Rv1806	3	6	1	2	0.000000
Rv1807	9	21	4	223	0.000100
Rv1808	26	29	1	2	0.000000
Rv1809	12	24	4	268	0.003840
Rv1810	10	13	1	2	0.000000
Rv1811	15	16	1	2	0.000000
Rv1812c	19	24	1	2	0.000000
Rv1813c	9	10	1	2	0.000000
Rv1814	21	25	1	2	0.000000
Rv1815	8	9	1	2	0.000000
Rv1816	8	15	2	18	0.000000
Rv1817	26	30	1	2	0.000000
Rv1818c	10	17	3	449	0.062520
Rv1819c	29	34	2	19	0.000000
Rv1820	17	20	1	2	0.000000
Rv1821	12	39	12	754	0.997780
Rv1822	1	17	16	480	0.999980
Rv1823	12	16	1	2	0.000000
Rv1824	4	5	1	2	0.000000
Rv1825	9	10	1	2	0.000000
Rv1826	0	9	9	375	0.998620
Rv1827	0	8	8	455	0.995000
Rv1828	0	14	14	676	1.000000
Rv1829	8	10	1	2	0.000000
Rv1830	1	12	11	567	0.999400
Rv1831	4	5	1	2	-1.000000
Rv1832	1	58	57	2681	1.000000
Rv1833c	10	14	2	28	0.000000
Rv1834	9	13	1	2	0.000000
Rv1835c	37	42	2	20	0.000000
Rv1836c	2	42	31	1720	1.000000
Rv1837c	1	27	25	2078	1.000000
Rv1838c	9	10	1	2	0.000000
Rv1839c	2	2	0	0	-1.000000
Rv1840c	9	17	6	455	0.623920
Rv1841c	10	13	3	128	0.000000
Rv1842c	11	16	2	9	0.000000
Rv1843c	20	23	2	59	0.000000
Rv1844c	17	18	1	2	0.000000
Rv1845c	3	15	9	402	0.986520
Rv1846c	3	3	0	0	0.000000
Rv1847	3	6	1	2	0.000000
Rv1848	2	2	0	0	-1.000000
Rv1849	2	6	4	238	0.678800
Rv1850	13	19	2	62	0.000000
Rv1851	1	2	1	2	-1.000000
Rv1852	3	6	1	2	0.000000
Rv1853	3	7	1	2	0.000000
Rv1854c	1	20	19	1340	1.000000
Rv1855c	13	15	2	71	0.000000
Rv1856c	3	5	1	2	0.000000
Rv1857	5	6	1	2	0.000000
Rv1858	20	23	1	2	0.000000
Rv1859	12	16	1	2	0.000000
Rv1860	12	16	1	2	0.000000
Rv1861	3	8	5	216	0.755480
Rv1862	13	15	1	2	0.000000
Rv1863c	8	10	1	2	0.000000
Rv1864c	8	10	1	2	0.000000
Rv1865c	11	13	1	2	0.000000
Rv1866	17	35	6	87	0.000000
Rv1867	13	21	2	240	0.000100
Rv1868	23	33	3	221	0.000000
Rv1869c	20	25	2	14	0.000000
Rv1870c	11	13	1	2	0.000000
Rv1871c	8	9	1	2	0.000000
Rv1872c	9	14	2	90	0.000000
Rv1873	11	11	0	0	0.000000
Rv1874	11	12	1	2	0.000000
Rv1875	5	5	0	0	0.000000
Rv1876	8	10	1	2	0.000000
Rv1877	31	34	1	2	0.000000
Rv1878	19	28	2	11	0.000000
Rv1879	15	20	2	34	0.000000
Rv1880c	12	16	2	51	0.000000
Rv1881c	7	8	1	2	0.000000
Rv1882c	14	16	1	2	0.000000
Rv1883c	6	6	0	0	0.000000
Rv1884c	5	6	1	2	0.000000
Rv1885c	9	14	3	48	0.000000
Rv1886c	18	24	2	43	0.000000
Rv1887	17	26	4	37	0.000000
Rv1888A	0	1	1	2	-1.000000
Rv1888c	12	19	3	62	0.000000
Rv1889c	2	4	2	168	0.000020
Rv1890c	6	8	1	2	0.000000
Rv1891	8	9	1	2	0.000000
Rv1892	5	8	3	34	0.000000
Rv1893	1	1	0	0	-1.000000
Rv1894c	11	14	2	14	0.000000
Rv1895	15	19	1	2	0.000000
Rv1896c	10	20	6	164	0.000000
Rv1897c	4	5	1	2	0.000000
Rv1898	3	4	1	2	0.000000
Rv1899c	11	11	0	0	0.000000
Rv1900c	18	25	2	25	0.000000
Rv1901	16	19	1	2	0.000000
Rv1902c	23	34	4	125	0.000000
Rv1903	6	6	0	0	0.000000
Rv1904	9	10	1	2	0.000000
Rv1905c	17	19	1	2	0.000000
Rv1906c	6	10	2	26	0.000000
Rv1907c	6	10	1	2	0.000000
Rv1908c	0	39	39	2109	1.000000
Rv1909c	3	12	7	246	0.167880
Rv1910c	10	13	1	2	0.000000
Rv1911c	6	8	1	2	0.000000
Rv1912c	10	14	1	2	0.000000
Rv1913	5	11	2	52	0.000000
Rv1914c	5	7	1	2	0.000000
Rv1915	16	21	2	237	0.000120
Rv1916	14	18	2	27	0.000000
Rv1917c	44	106	15	353	0.998160
Rv1918c	27	76	25	476	1.000000
Rv1919c	6	7	1	2	0.000000
Rv1920	10	13	2	59	0.000000
Rv1921c	19	22	1	2	0.000000
Rv1922	16	21	1	2	0.000000
Rv1923	30	34	1	2	0.000000
Rv1924c	11	12	1	2	0.000000
Rv1925	30	39	1	2	0.000000
Rv1926c	6	9	2	14	0.000000
Rv1927	14	17	1	2	0.000000
Rv1928c	14	19	1	2	0.000000
Rv1929c	6	9	1	2	0.000000
Rv1930c	5	6	1	2	0.000000
Rv1931c	1	5	3	152	0.000000
Rv1932	6	9	1	2	0.000000
Rv1933c	8	10	1	2	0.000000
Rv1934c	10	12	2	11	0.000000
Rv1935c	9	10	1	2	0.000000
Rv1936	17	18	1	2	0.000000
Rv1937	27	49	6	321	0.168900
Rv1938	9	17	3	50	0.000000
Rv1939	1	5	3	185	0.000120
Rv1940	6	9	3	419	0.156320
Rv1941	3	4	1	2	0.000000
Rv1942c	1	2	1	2	-1.000000
Rv1943c	3	10	7	215	0.114140
Rv1944c	5	8	2	26	0.000000
Rv1945	4	11	4	303	0.192520
Rv1946c	5	7	2	37	0.000000
Rv1947	5	6	1	2	0.000000
Rv1948c	9	16	3	18	0.000000
Rv1949c	14	21	3	55	0.000000
Rv1950c	5	5	0	0	-1.000000
Rv1951c	4	6	1	2	0.000000
Rv1952	2	2	0	0	-1.000000
Rv1953	7	13	3	9	0.000000
Rv1954c	7	7	0	0	0.000000
Rv1955	6	7	1	2	0.000000
Rv1956	5	8	2	4	0.000000
Rv1957	9	13	1	2	0.000000
Rv1958c	5	10	3	202	0.000020
Rv1959c	5	7	2	63	0.000000
Rv1960c	3	4	1	2	0.000000
Rv1961	7	9	1	2	0.000000
Rv1962c	10	14	1	2	0.000000
Rv1963c	8	19	6	303	0.440140
Rv1964	6	7	1	2	0.000000
Rv1965	12	16	2	24	0.000000
Rv1966	10	15	2	20	0.000000
Rv1967	11	13	1	2	0.000000
Rv1968	4	12	3	86	0.000000
Rv1969	10	13	2	29	0.000000
Rv1970	4	11	4	48	0.000000
Rv1971	19	20	1	2	0.000000
Rv1972	3	5	2	35	0.000000
Rv1973	2	4	2	146	0.000000
Rv1974	7	8	1	2	0.000000
Rv1975	10	14	2	48	0.000000
Rv1976c	2	3	1	2	0.000000
Rv1977	13	13	0	0	0.000000
Rv1978	12	14	1	2	0.000000
Rv1979c	28	38	2	15	0.000000
Rv1980c	17	20	1	2	0.000000
Rv1981c	19	25	2	35	0.000000
Rv1982c	4	6	1	2	0.000000
Rv1983	25	34	2	37	0.000000
Rv1984c	12	13	1	2	0.000000
Rv1985c	12	14	2	107	0.000000
Rv1986	8	9	1	2	0.000000
Rv1987	8	10	2	100	0.000000
Rv1988	6	7	1	2	0.000000
Rv1989c	11	12	1	2	0.000000
Rv1990A	4	5	1	2	0.000000
Rv1990c	0	6	6	283	0.997300
Rv1991c	6	6	0	0	0.000000
Rv1992c	30	35	2	51	0.000000
Rv1993c	4	5	1	2	-1.000000
Rv1994c	2	7	3	87	0.000000
Rv1995	8	9	1	2	0.000000
Rv1996	9	13	2	178	0.000000
Rv1997	20	29	3	82	0.000000
Rv1998c	12	20	4	207	0.000000
Rv1999c	19	27	2	74	0.000000
Rv2000	29	36	2	25	0.000000
Rv2001	8	16	4	313	0.233420
Rv2002	7	11	2	26	0.000000
Rv2003c	9	14	2	28	0.000000
Rv2004c	13	25	4	112	0.000000
Rv2005c	8	13	2	145	0.000000
Rv2006	33	82	17	722	0.999900
Rv2007c	7	9	2	21	0.000000
Rv2008c	17	29	6	113	0.000000
Rv2009	3	5	1	2	0.000000
Rv2010	6	7	1	2	0.000000
Rv2011c	5	6	1	2	0.000000
Rv2012	8	11	2	22	0.000000
Rv2013	1	3	2	350	0.463180
Rv2014	3	4	1	2	0.000000
Rv2015c	4	6	1	2	0.000000
Rv2016	5	7	1	2	0.000000
Rv2017	0	12	12	878	0.999900
Rv2018	1	14	7	252	0.106740
Rv2019	7	7	0	0	0.000000
Rv2020c	4	5	1	2	0.000000
Rv2021c	5	7	2	139	0.000000
Rv2022c	12	14	2	18	0.000000
Rv2023c	2	2	0	0	-1.000000
Rv2024c	10	15	4	177	0.000000
Rv2025c	8	11	2	107	0.000000
Rv2026c	4	12	4	149	0.000000
Rv2027c	13	15	1	2	0.000000
Rv2028c	9	13	3	192	0.000000
Rv2029c	9	11	1	2	0.000000
Rv2030c	23	35	2	13	0.000000
Rv2031c	7	8	1	2	0.000000
Rv2032	10	19	3	96	0.000000
Rv2033c	9	12	1	2	0.000000
Rv2034	1	3	1	2	0.000000
Rv2035	8	12	2	22	0.000000
Rv2036	4	10	4	270	0.035420
Rv2037c	9	17	5	206	0.000060
Rv2038c	4	18	6	347	0.649760
Rv2039c	8	17	4	130	0.000000
Rv2040c	8	18	4	60	0.000000
Rv2041c	17	25	2	28	0.000000
Rv2042c	6	15	6	212	0.000620
Rv2043c	8	11	2	40	0.000000
Rv2044c	5	8	1	2	0.000000
Rv2045c	15	29	4	89	0.000000
Rv2046	8	10	1	2	0.000000
Rv2047c	5	32	12	680	0.998000
Rv2048c	15	128	20	1810	1.000000
Rv2049c	2	2	0	0	-1.000000
Rv2050	0	5	5	250	0.992640
Rv2051c	11	33	18	1049	1.000000
Rv2052c	20	22	1	2	0.000000
Rv2053c	3	5	2	34	0.000000
Rv2054	15	17	2	12	0.000000
Rv2055c	1	3	1	2	0.000000
Rv2056c	4	4	0	0	0.000000
Rv2057c	3	4	1	2	-1.000000
Rv2058c	4	5	1	2	-1.000000
Rv2059	18	20	1	2	0.000000
Rv2061c	4	6	2	23	0.000000
Rv2062c	29	50	7	775	0.577380
Rv2063	1	3	2	17	0.000000
Rv2064	3	10	6	386	0.832880
Rv2065	6	8	1	2	0.000000
Rv2066	16	22	2	11	0.000000
Rv2067c	17	33	7	242	0.009760
Rv2068c	14	15	1	2	0.000000
Rv2069	6	9	1	2	0.000000
Rv2070c	7	15	3	60	0.000000
Rv2071c	12	17	2	21	0.000000
Rv2072c	12	13	1	2	0.000000
Rv2073c	9	10	1	2	0.000000
Rv2074	5	6	1	2	0.000000
Rv2075c	25	26	1	2	0.000000
Rv2076c	4	5	1	2	0.000000
Rv2077A	4	8	4	69	0.000000
Rv2077c	15	20	4	209	0.000020
Rv2078	2	4	2	73	0.000000
Rv2079	17	33	5	184	0.000000
Rv2080	9	10	1	2	0.000000
Rv2081c	6	8	1	2	0.000000
Rv2082	24	38	5	428	0.127800
Rv2083	6	6	0	0	0.000000
Rv2084	17	25	2	182	0.000000
Rv2085	0	3	3	79	-1.000000
Rv2086	9	12	1	2	0.000000
Rv2087	1	6	3	114	0.000180
Rv2088	15	30	5	164	0.000000
Rv2089c	12	22	5	258	0.006000
Rv2090	13	16	1	2	0.000000
Rv2091c	17	20	2	14	0.000000
Rv2092c	31	41	3	60	0.000000
Rv2093c	1	13	12	742	0.999780
Rv2094c	0	3	3	135	-1.000000
Rv2095c	13	15	2	131	0.000000
Rv2096c	11	15	1	2	0.000000
Rv2097c	1	22	21	1243	1.000000
Rv2100	14	19	3	25	0.000000
Rv2101	22	29	2	19	0.000000
Rv2102	9	12	2	83	0.000000
