Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,B6,BXD102,BXD29,BXD39,BXD40,BXD48a,BXD51,BXD54,BXD56,BXD60,BXD62,BXD67,BXD69,BXD73,BXD73b,BXD77,BXD79,BXD90,BXD93,BXD9,DBA
Rv0032,bioF2,,,,,,,,,,,,,,,,,0.9856,0.959013708916276,0.896558626866602,0.875433804945205,0.0001512285797217,0.44912,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12188987,0.19832847,0.16387444,1.0,1.0,1.0,0.92145,1.0,1.0,1.0,1.0,1.0,1.0,0.969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0033,acpA,,,,,,,,,,,,,,,,,,0.199,0.696000000000001,0.697000000000001,0.5755729749419404,0.4772063917,0.5122896175,0.1307082759,1.0,1.0,1.0,1.0,1.0,1.0,0.4615,0.6312,1.0,1.0,0.912,1.0,1.0,0.13664067,0.13630337,0.13601811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67461,0.7878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1894,1.0
Rv0034,-,,,,,,,,,,,,,,,,,,0.853333333333333,1.0,0.812698412698413,0.5969960461081587,0.4929925119,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07328332,0.03014232,0.04839308,1.0,1.0,1.0,0.55158,1.0,1.0,1.0,1.0,1.0,1.0,0.99253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51785
Rv0035,fadD34,,,,,,,,,,,,,,,,,0.9735,0.226262736686758,0.395743691935471,0.270279538124072,0.070840518972923,0.3886044914,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18777651,0.17796519,0.14349241,1.0,1.0,1.0,0.9481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0036c,-,,,,,,,,,,,,,,,,,0.9873,0.0919999999999998,0.347142857142857,0.419428571428572,0.3922680598264199,0.273482,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,0.1971,1.0,0.3874,1.0,1.0,1.0,1.0,1.0,0.14186461,0.14619789,0.04707382,1.0,1.0,1.0,0.94827,1.0,1.0,1.0,0.99033,1.0,1.0,0.97075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91619
Rv0037c,-,,,,,,,,,,,,,,,,,0.9259,0.670432654052218,0.664769283049626,0.464563193301919,0.1340992774146735,0.2985272116,0.5122896175,0.5182398757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6382,1.0,1.0,1.0,1.0,1.0,0.14261881,0.03165112,0.11869458,1.0,0.99933,1.0,0.933,1.0,1.0,1.0,1.0,1.0,1.0,0.99614,0.99283,1.0,1.0,0.59452,1.0,1.0,1.0,0.8921,1.0,1.0
Rv0038,-,,,,,,,,,,,,,,,,,,0.434604506604507,0.144529914529915,0.0895073815073814,0.3667739784996948,0.4723841221,0.5122896175,0.5113908877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06291039,0.06296534,0.05283884,1.0,0.96279,1.0,0.62013,0.95079,1.0,1.0,0.8235,0.88741,1.0,0.94872,1.0,1.0,0.9593,1.0,1.0,1.0,1.0,0.37449,1.0,1.0
Rv0039c,-,,,,,,,,,,,,,,,,,,0.914285714285712,0.542857142857144,0.956571428571429,0.7426111233311194,0.4463304348,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6102,1.0,1.0,1.0,1.0,1.0,0.12541016,0.1206294,0.13521043,1.0,1.0,1.0,0.97251,1.0,1.0,1.0,0.83664,1.0,1.0,0.83687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73884
Rv0040c,mtc28,,,,,,,0.007325746,0.009991304,,,,,,,,,0.774,0.179889182213905,0.517541342574207,0.91245038857421,0.5817834791959313,0.0521497537,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,0.878211,1.0,0.417,0.8789,1.0,1.0,1.0,0.8118,1.0,0.11918094,0.05743045,0.13672726,1.0,0.12835,1.0,0.60631,0.91343,1.0,0.84435,0.57907,0.80257,1.0,0.714,0.9756,0.25582,1.0,0.83079,0.53539,0.2417,1.0,1.0,0.48632,0.49598
Rv0041,leuS,3.8358845e-05,,,,,,,,,,,,,,,,0.0066,0.651549742112248,0.101271994321384,0.527131058837801,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10613442,0.10395241,0.09499426,1.0,1.0,1.0,0.97251,1.0,1.0,1.0,1.0,0.99618,1.0,0.89364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91619
