hUMAP_x	hUMAP_y	gene_names
12.72845	1.2422806	Rv0387c
9.660582	2.0352936	Rv0389
20.78182	0.08915342	Rv0390
20.488115	0.07036719	Rv0391
5.7473187	3.6130235	Rv0392c
7.930938	-0.5631143	Rv0393
10.764563	3.0013773	Rv0394c
7.9529376	-1.5676446	Rv0395
14.892467	2.657853	Rv0396
14.300219	-2.166722	Rv0397
12.339971	1.3627588	Rv0398c
-1.0498931	6.0345583	Rv0399c
11.517923	5.0462217	Rv0400c
9.466576	1.715643	Rv0401
7.3016515	2.138001	Rv0402c
9.172198	3.3998842	Rv0403c
8.250341	6.192618	Rv0404
2.291212	15.466434	Rv0405
12.89178	-6.1635485	Rv0406c
5.016183	3.2650259	Rv0407
10.306696	-4.8426323	Rv0408
10.353145	-4.883515	Rv0409
13.875852	11.968118	Rv0410c
1.2946931	5.1951942	Rv0411c
13.788437	11.922357	Rv0412c
4.685995	3.0295565	Rv0413
11.568266	3.382591	Rv0414c
17.343496	7.3314686	Rv0415
15.308361	3.3615544	Rv0416
17.256617	6.6246424	Rv0417
-1.13431	6.0128007	Rv0418
12.603494	-2.3594894	Rv0419
5.1120434	-6.7968884	Rv0420c
11.281368	1.0738528	Rv0421c
15.531127	10.865477	Rv0422c
14.811236	-2.0318599	Rv0423c
13.19251	-5.8963556	Rv0424c
12.882038	-6.2280035	Rv0425c
10.760134	0.26291952	Rv0426c
12.802208	4.6697645	Rv0427c
12.057402	-1.4212525	Rv0428c
18.13063	14.013259	Rv0429c
17.79653	10.040893	Rv0430
11.392487	-2.3775535	Rv0431
13.357126	8.555097	Rv0432
15.799451	2.3940864	Rv0433
5.9437537	-0.37517217	Rv0434
8.878308	7.611491	Rv0435c
20.376953	16.77451	Rv0436c
13.530127	1.242484	Rv0437c
13.201381	-2.89844	Rv0438c
9.232238	0.969975	Rv0439c
9.804423	-6.5549383	Rv0440
15.180084	1.1300476	Rv0441c
7.4452333	1.7310383	Rv0442c
7.595922	8.4718	Rv0443
9.853227	3.7276878	Rv0444c
4.8782725	8.561843	Rv0445c
11.093102	-1.8583797	Rv0446c
3.0514991	14.697315	Rv0447c
9.013791	-1.6388164	Rv0448c
11.802477	-2.6656451	Rv0449c
20.381807	-0.033630483	Rv0450c
20.240004	0.015017819	Rv0451c
10.486542	2.4217815	Rv0452
8.190133	4.5171213	Rv0453
13.398973	0.45452425	Rv0454
17.350727	7.375536	Rv0455c
11.832626	5.5538573	Rv0456A
14.045275	1.2328928	Rv0456c
7.8795543	5.7295485	Rv0457c
10.5532255	1.0458835	Rv0458
13.935866	1.3353112	Rv0459
12.634264	-0.43592894	Rv0460
2.1946852	15.456094	Rv0461
16.339487	9.137093	Rv0462
10.126232	-0.6824848	Rv0463
9.726781	-0.44647214	Rv0464c
12.918021	-6.1760926	Rv0465c
11.99097	10.253547	Rv0466
14.009344	3.2612062	Rv0467
8.713805	-3.322525	Rv0468
8.577574	4.133269	Rv0469
8.622765	6.5664067	Rv0470A
12.133924	-6.0270057	Rv0470c
13.6473255	-0.95850503	Rv0471c
21.410189	17.563234	Rv0472c
12.177127	-6.1397676	Rv0473
14.898096	1.0656185	Rv0474
15.287833	1.2194117	Rv0475
13.536246	-2.11266	Rv0476
13.063416	-0.53653365	Rv0477
14.087845	1.3311107	Rv0478
17.292284	8.549965	Rv0479c
7.847054	2.9188921	Rv0480c
8.468181	-15.072339	Rv0481c
14.181132	19.587664	Rv0482
11.77273	10.822987	Rv0483
12.952321	1.6157058	Rv0484c
6.306713	6.4972167	Rv0485
2.2268987	23.863194	Rv0486
10.779731	7.9513493	Rv0487
13.316487	0.38643265	Rv0488
19.202696	8.13344	Rv0489
4.77846	-0.2752241	Rv0490
4.3480453	-0.18115385	Rv0491
7.9696755	0.9340282	Rv0492A
3.264926	6.030405	Rv0492c
9.8129	-1.6366899	Rv0493c
6.788237	0.7392526	Rv0494
9.89008	1.9666284	Rv0495c
11.303579	-1.0937233	Rv0496
12.143997	10.0132265	Rv0497
5.2383485	3.4058437	Rv0498
12.595766	-1.47973	Rv0499
16.730873	0.14176321	Rv0500
14.995696	-2.0781002	Rv0500A
9.760553	-3.551483	Rv0500B
10.456091	2.369099	Rv0501
5.558577	3.5697	Rv0502
11.697826	10.924395	Rv0503c
8.422073	-15.118467	Rv0504c
13.447821	2.5444963	Rv0505c
11.437045	-1.0291673	Rv0506
11.995986	4.715425	Rv0507
5.801967	3.3550386	Rv0508
17.151402	14.52748	Rv0509
17.100073	14.455028	Rv0510
12.83121	20.656582	Rv0511
8.883107	12.401229	Rv0512
16.776411	22.88365	Rv0513
4.4487596	6.11812	Rv0514
-1.902512	16.470652	Rv0515
15.110757	1.2294832	Rv0516c
7.694439	18.058144	Rv0517
14.745024	0.5250728	Rv0518
7.2018275	5.1187596	Rv0519c
8.072707	-4.594708	Rv0520
9.632828	-0.5495353	Rv0521
9.122436	2.151332	Rv0522
7.2780643	-0.16764753	Rv0523c
16.365805	8.938395	Rv0524
13.024351	3.7630503	Rv0525
17.530172	13.226886	Rv0526
15.025268	11.033904	Rv0527
16.782701	-9.724285	Rv0528
17.489895	12.922285	Rv0529
15.237746	1.2289628	Rv0530
11.118646	6.3993874	Rv0531
4.1437607	13.997601	Rv0532
11.947329	10.400707	Rv0533c
19.271482	8.84806	Rv0534c
7.7440405	4.063258	Rv0535
8.027277	3.7949507	Rv0536
17.29594	8.545616	Rv0537c
17.38641	8.612382	Rv0538
9.386406	1.4373559	Rv0539
13.673468	-0.4042666	Rv0540
16.969088	-0.92105395	Rv0541c
19.257338	8.699198	Rv0542c
15.2877	11.045872	Rv0543c
11.993796	6.1641607	Rv0544c
11.935937	7.1344376	Rv0545c
11.247629	1.0580366	Rv0546c
8.415973	-3.996737	Rv0547c
7.889422	-3.3333101	Rv0548c
13.48465	2.7301686	Rv0549c
11.527237	1.5583398	Rv0550c
7.504023	8.50557	Rv0551c
9.107646	5.393741	Rv0552
3.267757	11.710955	Rv0553
-8.869498	2.2236662	Rv0554
7.8605213	10.126407	Rv0555
16.778896	-0.87003124	Rv0556
13.945061	-14.9278555	Rv0557
18.816675	8.509684	Rv0558
12.483361	3.0061858	Rv0559c
13.86378	-2.6782727	Rv0560c
12.52836	-6.360327	Rv0561c
18.021917	13.905321	Rv0562
13.944276	-2.091329	Rv0563
14.714548	4.1398196	Rv0564c
9.1647835	5.4354305	Rv0565c
7.274273	3.2958436	Rv0566c
9.452426	3.1858525	Rv0567
12.231617	0.7667969	Rv0568
11.17617	3.026091	Rv0569
10.070203	-0.08627287	Rv0570
12.765578	-2.710341	Rv0571c
10.963361	5.597652	Rv0572c
8.830212	0.00034990854	Rv0573c
7.5697856	10.636943	Rv0574c
13.296269	-0.26912704	Rv0575c
7.809682	7.6132236	Rv0576
6.190299	-0.24791372	Rv0577
4.177448	5.1749134	Rv0578c
8.235062	-0.1937162	Rv0579
13.434674	2.4581866	Rv0580c
10.9939785	0.61435986	Rv0581
8.402629	0.17968662	Rv0582
12.225242	3.4832065	Rv0583c
15.258554	-2.1084275	Rv0584
-0.9143938	5.791435	Rv0585c
12.566553	-0.5868605	Rv0586
10.530881	2.663253	Rv0587
10.600577	4.3202233	Rv0588
12.572035	5.115932	Rv0589
7.078699	1.3104271	Rv0590
6.908317	1.1391695	Rv0590A
3.9996936	14.145635	Rv0591
7.7777333	9.593827	Rv0592
9.707006	-3.576093	Rv0593
11.404515	-4.740461	Rv0594
13.409768	-2.1738644	Rv0595c
14.285327	2.4601924	Rv0596c
14.134472	2.2468457	Rv0597c
10.721195	4.7461247	Rv0598c
15.297676	-1.7775029	Rv0599c
11.123076	5.0239778	Rv0600c
11.312459	-0.3998286	Rv0601c
11.812822	1.6735816	Rv0602c
9.174615	3.6517522	Rv0603
10.064124	3.782085	Rv0604
13.797091	-2.6798954	Rv0605
5.923651	-0.0041807634	Rv0606
10.782613	1.5594989	Rv0607
8.35544	0.65488225	Rv0608
8.522484	2.2382233	Rv0609
