Rv_ID,sanger_level_II
Rv0504c,V - UNKNOWN FUNCTION
Rv0515,V - UNKNOWN FUNCTION
Rv0516c,V - Conserved hypotheticals
Rv0519c,V - UNKNOWN FUNCTION
Rv0523c,V - UNKNOWN FUNCTION
Rv0525,V - Conserved hypotheticals
Rv0526,V - Conserved hypotheticals
Rv0530,V - Conserved hypotheticals
Rv0540,V - UNKNOWN FUNCTION
Rv0543c,V - UNKNOWN FUNCTION
Rv0546c,V - Conserved hypotheticals
Rv0549c,V - Conserved hypotheticals
Rv0557,V - Conserved hypotheticals
Rv0566c,V - UNKNOWN FUNCTION
Rv0569,V - UNKNOWN FUNCTION
Rv0571c,V - UNKNOWN FUNCTION
Rv0573c,V - Conserved hypotheticals
Rv0574c,V - Conserved hypotheticals
Rv0577,V - Conserved hypotheticals
Rv0579,V - UNKNOWN FUNCTION
Rv0581,V - Conserved hypotheticals
Rv0595c,V - Conserved hypotheticals
Rv0596c,V - Conserved hypotheticals
Rv0597c,V - UNKNOWN FUNCTION
Rv0598c,V - Conserved hypotheticals
Rv0599c,V - Conserved hypotheticals
Rv0608,V - Conserved hypotheticals
Rv0609,V - Conserved hypotheticals
Rv0614,V - UNKNOWN FUNCTION
Rv0617,V - Conserved hypotheticals
Rv0623,V - Conserved hypotheticals
Rv0624,V - Conserved hypotheticals
Rv0626,V - Conserved hypotheticals
Rv0627,V - Conserved hypotheticals
Rv0628c,V - UNKNOWN FUNCTION
Rv0635,V - Conserved hypotheticals
Rv0637,V - Conserved hypotheticals
Rv0647c,V - UNKNOWN FUNCTION
Rv0648,V - Conserved hypotheticals
Rv0657c,V - Conserved hypotheticals
Rv0659c,V - Conserved hypotheticals
Rv0660c,V - Conserved hypotheticals
Rv0661c,V - Conserved hypotheticals
Rv0665,V - Conserved hypotheticals
Rv0669c,V - UNKNOWN FUNCTION
Rv0695,V - UNKNOWN FUNCTION
Rv0698,V - UNKNOWN FUNCTION
Rv0712,V - UNKNOWN FUNCTION
Rv0725c,V - Conserved hypotheticals
Rv0726c,V - Conserved hypotheticals
Rv0730,V - UNKNOWN FUNCTION
Rv0731c,V - Conserved hypotheticals
Rv0739,V - UNKNOWN FUNCTION
Rv0740,V - UNKNOWN FUNCTION
Rv0745,V - UNKNOWN FUNCTION
Rv0748,V - Conserved hypotheticals
Rv0749,V - Conserved hypotheticals
Rv0750,V - UNKNOWN FUNCTION
Rv0759c,V - UNKNOWN FUNCTION
Rv0760c,V - UNKNOWN FUNCTION
Rv0774c,V - UNKNOWN FUNCTION
Rv0775,V - UNKNOWN FUNCTION
Rv0776c,V - UNKNOWN FUNCTION
Rv0779c,V - Conserved hypotheticals
Rv0784,V - UNKNOWN FUNCTION
Rv0786c,V - UNKNOWN FUNCTION
Rv0793,V - UNKNOWN FUNCTION
Rv0799c,V - Conserved hypotheticals
Rv0804,V - UNKNOWN FUNCTION
Rv0805,V - Conserved hypotheticals
Rv0807,V - UNKNOWN FUNCTION
Rv0811c,V - UNKNOWN FUNCTION
Rv0813c,V - UNKNOWN FUNCTION
Rv0819,V - Conserved hypotheticals
Rv0822c,V - Conserved hypotheticals
Rv0825c,V - Conserved hypotheticals
Rv0826,V - UNKNOWN FUNCTION
Rv0828c,V - Conserved hypotheticals
Rv0830,V - Conserved hypotheticals
