Rv_ID,2003A_Sassetti_q_val,2003B_Sassetti_q_val,2005_Rengarajan_q_val,2006_Joshi_GI_1_q_val,2006_Joshi_GI_2_q_val,2011_Griffin_2_q_val,2013_Zhang_1_q_val,2013_Zhang_2_q_val,2013_Zhang_3A_q_val,2013_Zhang_3B_q_val,2013_Zhang_3C_q_val,2013_Zhang_3D_q_val,2016_Korte_q_val,2017_Mishra_1A_q_val,2017_Mishra_1B_q_val,2017_Mishra_1C_q_val,2017_Mishra_1D_q_val,2018_Rittershaus_1A_q_val,2018_Rittershaus_1B_q_val,2012_Zhang_q_val,2015_Kieser_GI_1_q_val,2015_Kieser_GI_2_q_val,2015_Kieser_GI_3_q_val,2015_Mendum_q_val,2016_Nambi_q_val,2017_Xu_1A_q_val,2017_Xu_1B_q_val,2017_Xu_1C_q_val,2017_Xu_1D_q_val,2017_Xu_1E_q_val,2018_Carey_1A_q_val,2018_Carey_1B_q_val,2018_Carey_1C_q_val,2018_Carey_1D_q_val,2018_Carey_1E_q_val,2018_Carey_1F_q_val,2018_Carey_1G_q_val,2018_Carey_1H_q_val,2017B_DeJesus_1A_q_val,2017B_DeJesus_1B_q_val,2017B_DeJesus_1C_q_val,marP_q_val,Rv0950_q_val,Rv3916c_q_val,Rv0307c_q_val,Rv3717_q_val,ponA1_q_val,Rv1565c_q_val,Rv3684_q_val,Rv0954_q_val,Rv3811_q_val,Rv1096_q_val,Rv2680_q_val,Rv1432_q_val,Rv3594_q_val,Rv3005c_q_val
Rv3009c,0.00012761065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0714,0.0875079630996632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10921826,0.09685278,0.0996896,0.80828,1.0,1.0,0.66055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3010c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2628,0.904140664424682,0.96762412136867,0.632696674905724,0.5695496822510527,0.3887365323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08699431,0.14198605,0.14418323,0.63362,1.0,0.94061,0.16881,1.0,0.96755,0.38488,1.0,0.50822,1.0,1.0,1.0,0.63652,1.0,0.15519000000000002
Rv3011c,0.00013055218999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0325,0.152528044329535,0.9485567397051958,0.758705455890312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7519,1.0,0.11122074,0.0921882,0.09129888,1.0,1.0,1.0,1.0,1.0,0.17565,0.74087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3012c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20684089,0.20699376,0.19910838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3014c,0.00012404933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2628,0.6043038923227729,0.637974141850199,0.8636616273384209,0.1131397162595498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6654,1.0,0.10035794,0.09518257,0.08912255,1.0,1.0,1.0,1.0,1.0,0.96755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0437378411202305,0.22581047294081402,0.41437744201492294,0.1254044083639814,0.2772298077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18939467,0.18608198,0.1699386,1.0,1.0,0.79472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41131999999999996,1.0,1.0,0.07015
Rv3017c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.123531454356536,0.0456115207673951,0.25348455055853697,1.0,0.3080083945,1.0,1.0,1.0,1.0,1.0,0.6382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14659288,0.13825611,0.09429103,1.0,1.0,0.4344,0.20397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78892,1.0,1.0,0.50283
Rv3018c,7.725111e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7391,0.425761182805068,0.833972968818078,0.875281794446532,0.009983985581605322,0.1372577114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17878563,0.17340835,0.17737786,1.0,1.0,1.0,1.0,1.0,1.0,0.73058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30451
Rv3018A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20703973,0.20719256,0.19930915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv3019c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9013458727706378,0.52746923310584,0.44248141748388703,0.3729478718348079,0.49455315130000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16130375,0.16366431,0.14523051,0.72216,1.0,0.99221,0.74553,1.0,1.0,0.9071,1.0,1.0,1.0,1.0,1.0,0.8856,1.0,0.75078
Rv3020c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41618099547511295,0.23484080625257,0.241990950226244,0.04182335165698081,0.0421622857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14793901,0.06305632,0.05306684,0.9766,1.0,1.0,0.23739000000000002,1.0,0.87834,0.47158999999999995,1.0,1.0,1.0,1.0,1.0,0.09439,1.0,0.5377
Rv3021c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0419,0.8936823024754609,0.821350086804743,0.684611269501601,0.4523974013844483,0.4623724596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08039309,0.0324192,0.06939692,1.0,1.0,0.619,0.09475,1.0,1.0,0.8067300000000001,1.0,1.0,1.0,1.0,0.84759,0.83631,1.0,0.64941
