Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_mbio_H37Rv,carey_630_vs_mbio_H37Rv,carey_631_vs_mbio_H37Rv,carey_632_vs_mbio_H37Rv,carey_641_vs_mbio_H37Rv,carey_662_vs_mbio_H37Rv,carey_663_vs_mbio_H37Rv,carey_667_vs_mbio_H37Rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library
Rv2414c,1,1,1,1,1,0.99491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.59572,0.64454,1,0.75115,0.43035,1,1,0.64263,0.93583,1,1,1,1,0.82317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2415c,1,1,1,1,1,0.49443,1,1,1,1,1,1,1,1,0.98209,0.98209,0.74365,1,1,0.88299,0.98332,0.99467,1,0.81597,1,1,0.97693,0.56937,1,0.97069,1,1,1,1,1,1,0.51503,1,1,1,1,1,1,1,0.90842,1,0.25886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2416c,1,1,1,1,1,0.72459,1,1,1,1,1,1,1,0.32529,0.96804,1,0.33989,1,1,1,1,0.60511,1,0.26508,1,1,0.50121,1,1,0.09863,0.448,1,1,1,1,0.94571,0.95039,1,1,1,0.88634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2417c,1,1,1,1,1,0.47324,1,1,1,1,1,1,1,0.21869,0.91214,0.89825,0.5712,1,1,1,1,1,1,0.01069,0.33737,1,0.87249,0.92686,1,0.99892,0.70649,0.76151,1,1,1,1,0.59795,1,1,1,1,1,1,1,1,1,1,1,1,0.72614,1,1,1,1,1,1,1,1,1,0.68846,1,1,1,0.81749
Rv2418c,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5283,0.72354,1,0.96513,1,1,0.96341,0.75901,1,1,1,1,1,1,0.57067,1,1,1,1,1,1,1,1,0.13487,1,1,1,0.85425,1,1,1,1,1,0.90166,1,0.64306,0.58858,1,1,1,0.46219,1,1,0.83918,1,1,1,1,1,1,1
Rv2419c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99445,0.98192,1,1,1,1,0.13932,1,0.05536,1,1,0.87849,0.56693,1,0.60007,1,0.40477,1,1,1,1,0.97957,1,1,1,0.9729,0.30341,0.09975,1,1,1,0.41044,1,1,0.20558,1,1,1,1,1,1,1,1,1,0.70407,1,1,0.11367,0.04284
Rv2420c,1,1,1,0.91749,1,0.81413,1,1,1,1,1,1,1,0.77189,1,0.95753,0.72028,1,1,1,1,1,1,0.45771,0.86179,1,0.85557,0.82931,1,1,0.74902,1,1,1,1,1,1,1,1,1,0.98318,1,1,1,1,1,0.28681,1,1,1,0.94083,1,1,1,1,1,1,1,1,1,1,1,0.54577,0.4587
Rv2421c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5712,0.97575,1,0.42543,0.72336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98275,1,1,1,1,1,1,1,1,0.98411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2422,1,1,1,1,1,0.71869,1,1,1,1,1,1,1,0.91439,0.76718,0.86776,0.95383,1,0.95772,0.87558,1,1,1,0.14225,0.54348,1,0.4337,0.12475,1,1,0.79821,1,0.64395,1,1,1,0.99168,1,1,1,1,1,1,1,0.97527,1,1,1,1,0.66481,0.46672,1,1,1,1,1,1,1,1,0.76201,1,1,0.8974,1
Rv2423,1,1,1,1,1,0.65678,1,1,1,1,1,1,1,0.94774,0.89731,0.9097,0.91789,1,0.943,0.91346,0.80304,1,1,0.21672,0.56803,1,0.50395,1,1,0.38461,0.21247,0.96225,1,1,1,1,0.73575,1,1,1,1,1,1,1,0.52408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88649,1,1,1,1
