Rv_ID,NN_1,NN_2,NN_3,NN_4,NN_5,NN_6,NN_7,NN_8,NN_9,NN_10
Rv0087,Rv0438c,Rv2112c,Rv3318,Rv2922c,Rv2579,Rv1909c,Rv1675c,NONE,NONE,NONE
Rv0088,Rv1218c,Rv3130c,Rv3155,Rv0220,Rv3565,Rv1264,Rv0601c,Rv2428,Rv1848,Rv1169c
Rv0089,Rv2866,Rv1553,Rv3229c,Rv0986,Rv2549c,Rv0969,Rv0277c,Rv3600c,Rv0586,Rv0908
Rv0090,Rv0977,Rv2918c,Rv3862c,Rv3106,Rv0286,Rv3743c,Rv3366,Rv0518,Rv3056,Rv2299c
Rv0091,Rv0385,Rv3234c,Rv1009,Rv0937c,Rv1033c,Rv0866,Rv2346c,Rv1026,Rv1198,Rv3371
Rv0092,Rv1820,Rv2589,Rv1640c,Rv2258c,Rv2614c,Rv0491,Rv2537c,Rv2241,Rv2221c,Rv2746c
Rv0093c,Rv3809c,Rv0321,Rv1849,Rv2741,Rv0732,Rv0761c,Rv2179c,Rv3214,Rv2200c,Rv0022c
Rv0094c,Rv2187,Rv2450c,Rv2191,Rv0183,Rv3158,Rv1151c,Rv0931c,Rv1386,Rv1032c,Rv0103c
Rv0095c,Rv0005,Rv1187,Rv1169c,Rv2816c,Rv1608c,Rv3565,Rv0220,Rv3518c,Rv3155,Rv1264
Rv0096,Rv3868,Rv3569c,Rv0098,Rv2583c,Rv2249c,Rv3849,Rv3543c,Rv2069,Rv0485,Rv3872
Rv0097,Rv3723,Rv3876,Rv3872,Rv0655,Rv2224c,Rv0099,Rv2249c,Rv0101,Rv2583c,Rv1086
Rv0098,Rv3569c,Rv2583c,Rv2249c,Rv3868,Rv3872,Rv2224c,Rv3876,Rv3543c,Rv2069,Rv3849
Rv0099,Rv0101,Rv1086,Rv3546,Rv0994,Rv1411c,Rv1798,Rv1238,Rv3723,Rv0998,Rv1348
Rv0100,Rv3723,Rv3872,Rv3876,Rv2224c,Rv0655,Rv2249c,Rv0099,Rv2583c,Rv0098,Rv3569c
Rv0101,Rv1086,Rv0099,Rv3546,Rv0994,Rv1798,Rv1411c,Rv1238,Rv0998,Rv3723,Rv1348
Rv0102,Rv0736,Rv1483,Rv1594,Rv3042c,Rv2753c,Rv2194,Rv3014c,Rv2438c,Rv2201,Rv2093c
Rv0103c,Rv3406,Rv1213,Rv1032c,Rv3232c,Rv1151c,Rv0535,Rv0183,Rv3158,Rv0058,Rv2191
Rv0104,Rv3328c,Rv2822c,Rv3812,Rv0192,Rv2976c,Rv3655c,Rv3567c,Rv1885c,Rv2817c,Rv1021
Rv0105c,Rv3809c,Rv2741,Rv3653,Rv0732,Rv2179c,Rv0022c,Rv1849,Rv0321,Rv3214,Rv1665
Rv0106,Rv0241c,Rv3586,Rv0129c,Rv0600c,Rv0206c,Rv2985,Rv3919c,Rv1909c,Rv0438c,NONE
Rv0107c,Rv0867c,Rv3152,Rv2973c,Rv1743,Rv2573,Rv1364c,Rv3547,Rv3150,Rv0602c,Rv3151
Rv0108c,Rv0858c,Rv3364c,Rv0254c,Rv2002,Rv2602,Rv3841,Rv3082c,Rv1739c,NONE,NONE
Rv0109,Rv1267c,Rv3704c,Rv1563c,Rv0754,Rv1731,Rv3086,Rv1996,Rv3480c,Rv2964,Rv1341
Rv0110,Rv2763c,Rv1143,Rv0386,Rv0301,Rv2914c,Rv0901,Rv2820c,Rv1399c,Rv0844c,Rv3382c
Rv0111,Rv2525c,Rv1496,Rv3908,Rv3273,Rv2418c,Rv0490,Rv3822,Rv1420,Rv3722c,Rv3838c
Rv0112,Rv2007c,Rv2757c,Rv3414c,Rv0282,Rv1541c,Rv2043c,Rv0601c,Rv3130c,Rv1218c,Rv3444c
Rv0113,Rv0478,Rv0557,Rv3592,Rv1604,Rv1316c,Rv1629,Rv3610c,Rv2623,Rv0582,Rv3589
Rv0114,Rv0889c,Rv1180,Rv2006,Rv0187,Rv2821c,Rv2688c,Rv1425,Rv2289,Rv0577,Rv2429
