Rv_ID,CES_calls
Rv3411c,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv
Rv3418c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3423c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3460c,carey_663_vs_mbio_H37Rv
Rv3464,carey_663_vs_mbio_H37Rv
Rv3579c,carey_663_vs_mbio_H37Rv
Rv3601c,minato_minimal_plate_vs_minato_rich_plate
Rv3602c,minato_minimal_plate_vs_minato_rich_plate
Rv3645,carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue; zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue; zhang_wt_mouse_d10_vs_zhang_input_library
Rv3710,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv; minato_minimal_plate_vs_minato_rich_plate
Rv3801c,kieser_dPonA1_vs_mbio_H37Rv
Rv3802c,carey_632_vs_mbio_H37Rv; zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue; zhang_wt_mouse_d10_vs_zhang_input_library
Rv3838c,carey_621_vs_mbio_H37Rv; minato_minimal_plate_vs_minato_rich_plate
Rv3859c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv3907c,carey_663_vs_mbio_H37Rv
Rv3909,zhang_wt_mouse_d45_vs_zhang_input_library
Rvnr01,PE35_KO_vs_mbio_H37Rv; PPE68_KO_vs_mbio_H37Rv; eccD1_KO_vs_mbio_H37Rv
